USERID	USERNAME	REWARD	CLAIMED	CLAIMEDBY	DECAP	
232126	sir	1000	665	Dranix	1	
5894467	aestatical	100	1245	and2333	0	
6418731	SlooperBoo	100	58563	Crow	0	
5092375	BloodyVine	100	58563		0	
6032682	Daeyyn	100	50156	Draigoon12	0	
101176	WhirlWindX	1000	136379	titanfall	0	
4317311	Gamori	100	62189	Degrec	0	
6419924	MrBluBerry	1000	920	Gang	0	
2027268	Gang	1000	1209	powes	0	
6419924	MrBluBerry	500	37315	Thatsleft	0	
4976626	Pendragon	500	750	Silveti	0	
2027268	Gang	1000	801	Silveti	0	
6419924	MrBluBerry	1000	457	Woblot0808	0	
6460479	NotDyl	100	1394	Joel	0	
5968275	mainland	100	613	HamFisted	0	
5968275	mainland	100	1520	HamFisted	0	
2766027	PoxPox	530	427	watermagic	0	
5874834	hugsteur	500	192	MCS4NEK	0	
4317445	Euphoria	100	388	aSyne	0	
4317445	Euphoria	1000	1016	SoftFox	0	
6040456	McFarbo	100	12116	Diamond	0	
6445437	TheEggGods	100	528	w0t	0	
6426743	XSnickerzz	100	3020399	lolno9	0	
2253223	Xioi	1000	308	GINIOTITAN	0	
5644018	HAWK152	5000	71759	Gang	0	
627220	JoboMan	1000	109	Velordrel	0	
2735486	Draku	1000	710403	Boy69	0	
3161355	Shikkumo	690	104292	SecKiller77	0	
4317445	Euphoria	1000	918	ZeuZ123	0	
16251	hampa	100	3020399	Bossyninja	0	
232126	sir	50000	417352	tabby	0	
453393	Diamond	1000	1467	Natejas	0	
2050855	Nubabydoll	100	579	TaydoShin	0	
6086369	iamlion12	574	95	Punk	0	
6060554	Hikou	100	388	Core	0	
16251	hampa	100	1071522	Fremar	0	
16251	hampa	100	1071634	Fremar	0	
3132156	Kriegery	2000	46135	trebeter	0	
3132156	Kriegery	2000	46562	trebeter	0	
4934263	tabby	3000	261508	Grrreatest	0	
232126	sir	1000	1721524	Reaper	1	
6106945	wh0t	125	20883	XiRw	0	
5954928	BadCuzMad	200	367	Sokushi	0	
5954928	BadCuzMad	200	787	BubbaBlue	0	
5202090	MrSofty	300	752042	Ukko	0	
4934263	tabby	1000	3709	SolaR	0	
3090936	Code	2000	1133223	Weedoko	0	
2530909	shameflame	200	91471	JoeGlint	0	
3284953	460	1000	91471		0	
3103295	Flame	2000	4001	steelers12	0	
