#PLAYER	RANK	ELO	WIN	LOSE	
Carbon666	1	1609.03	59	31	
keap67	2	1609.7	42	21	
MiseRinKo	3	1608.36	9	0	
imapirate	4	1608.12	16	2	
BlueEvil	5	1607.58	9	1	
Bacalhau	6	1607.54	29	17	
Xene	7	1605.68	7	1	
Blimped	8	1605.55	10	2	
DOPE400	9	1605.34	10	5	
aetha	10	1605.32	13	7	
zach	11	1604.83	6	1	
Turnsie	12	1602.94	3	0	
Crack11	13	1602.94	3	0	
Jbean2001	14	1602.92	3	0	
FistofLife	15	1602.91	3	0	
GiraFFus	16	1602.89	3	0	
DJMC	17	1602.89	3	0	
klaniax	18	1602.03	6	4	
DeadPear	19	1602	3	1	
Rain	20	1601.96	3	1	
