#PLAYER	RANK	ELO	WIN	LOSE	
McFarbo	1	1679	297	84	
nervau	2	1672.86	284	100	
Karstnator	3	1667.45	295	80	
Core	4	1659.39	356	51	
Money	5	1654.86	222	43	
Euphoria	6	1639.81	207	56	
Shmevin	7	1639.39	125	50	
Kurokaen	8	1633.28	210	129	
SruX	9	1632.79	341	185	
Karith	10	1631.06	94	29	
Code	11	1629.06	127	54	
Ertyuiuy	12	1628.29	510	245	
watermagic	13	1626.66	48	16	
Fire	14	1625.92	69	22	
Haku	15	1622.44	49	18	
Carbon666	16	1621.47	351	282	
Uhrj	17	1620.78	105	36	
Crow	18	1619.96	140	97	
HiPower	19	1617.92	35	15	
Col2un	20	1617.66	71	34	
