#Messages
INTROCINEMATIC1	Hi and welcome to the Opener Challenge!
INTROCINEMATIC2	In this event, you need to complete the objectives by continuing the replay from a premade opener
INTROCINEMATIC3	This time the task is to lift Uke in the air and keep him there for as long as you can!
INTROCINEMATIC4	After deadline is met, Event Squad will also pick the best replay our of submissions with all the objectives completed - and the winner gets extra prize!
INTRO1	Welcome back! Continue making the replay using the premade opener and keep Uke in the air for as long as you can
UPLOADSUCCESS1	Hooray, you've successfully uploaded your entry!
UPLOADSUCCESS2	Check your notifications - there should be a message from Event Squad with the list of prizes you've got!
UPLOADSUCCESS3	If you make an even better replay, feel free to submit it any time to claim even better prizes!
UPLOADSUCCESS4	Your replay didn't get you any new rewards, but you can still try to make a better replay and upload later!
UPLOADSUCCESS5	Thanks for participating and see you next time!
#Tasks
EVTTASK1	Lift Uke into the air
EVTTASK1VAL	Current Uke air time: {x} frames
EVTTASKOPT1	Get 150 frames Uke air time
EVTTASKOPT2	Get 500 frames Uke air time
EVTTASKOPT3	Don't use grabs
