#PLAYER MESSAGES	
SENSEIKICK1	Теперь ты знаешь, как использовать свои руки. Пришло время изучить удары ногами.
SENSEIKICK2	Я покажу тебе на примере этого просто пинка.
SENSEIKICK3	Напряги все джоинты, чтобы не упасть.
SENSEIKICK4	Удар будет осуществляться левой ногой. Согни оба бедра и оба колена, чтобы занять позицию для удара.
SENSEIKICK5	Хорошо, теперь закончи ход, нажав пробел
SENSEIKICK6	Отлично, теперь ты готов пнуть оппонента. Разогни колени и смотри на призрак!
SENSEIKICK7	Обрати внимание, ты находишься в удачной позиции для удара по ногам, однако, твоё тело наклоняется вперёд и делает тебя уязвимым для атаки со стороны оппонента.
SENSEIKICK8	Чтобы исправить ситуацию, разогни правое бедро. Это сделает удар сильнее, теперь это точно беспроигрышная позиция!
SENSEIKICK9	Закончи ход и посмотри, что из этого получилось!
PLAYERKICK1	Кийя!
SENSEIKICK10	Замечательно! Никогда не забывай смотреть на призрак перед завершением хода, убедись, что всё сделано правильно!
SENSEIADVKICK1	Ты освоил простейший пинок ногой, но чтобы победить реального оппонента необходимо учиться использовать всё тело.
SENSEIADVKICK2	Это может показаться сложным, но как только ты начнешь понимать, что нужно делать, запоминание приёмов тебе не понадобится.
SENSEIADVKICK3	Мы почти у цели!
SENSEIADVKICK4	Изумительно! А теперь подойди сюда, у меня есть для тебя кое-что особенное.
SENSEIMOVEMEMORY1	Поначалу, запоминание приемов и их использование против реальных оппонентов может показаться трудным.
SENSEIMOVEMEMORY2	Вот, возьми MoveMemory. Это позволит тебе записывать приёмы и использовать их во время боя.
SENSEIMOVEMEMORY3	Для удобства я уже добавил туда движения, которые ты изучил ранее.
SENSEIMOVEMEMORY4	Попробуй.
SENSEIMOVEMEMORY5	Отлично, теперь ты готов к своему первому реальному поединку!
#	
#HINT MESSAGES	
HINTADVKICK1	Чтобы сделать хороший хай-кик, тебе нужно использовать ТОРС, ЯГОДИЦЫ и даже РУКИ, чтобы развить скорость.\nНо для начала напряги всё тело, нажав ~C~
HINTADVKICK2	Повтори удар ногой, которому тебя научил сенсей: согни левоё бедро и левое колено, чтобы поднять ногу и занять позицию, и разогни правое бедро, чтобы придать удару импульс.
HINTADVKICK3	Теперь ПОВЕРНИ ТЕЛО ВПРАВО, вытягивая правую руку вперёд.\nВращение верхней части тела в момент удара ногой в противоположную сторону помогает увеличить скорость.
HINTADVKICK4	Чтобы поднять ногу ещё выше, тебе необходимо подключить ягодицы.\nРазогни их, используя клавишу ~Z~ и посмотри, что получится.
HINTADVKICK5	Теперь путём проб и ошибок откоректируем направление твоего удара.\nВ данном случае ПОЯСНИЧНЫЙ ДЖОИНТ будет весьма полезен.
HINTADVKICK6	Попробуй согнуть поясницу вправо.
HINTADVKICK7	Ты можешь видеть, что несмотря на то, что удар стал значительно мощнее, его направление стало чуть ниже.\nЭто может быть полезно, если ты собираешься совершить удар в тело, но сейчас наша цель - голова.
HINTADVKICK8	Сейчас попробуй согнуть поясницу влево и посмотри, что изменится.
HINTADVKICK9	Направление удара стало еще выше, теперь ты беспрепятственно можешь ударить оппонента.\nНажми ~ПРОБЕЛ~ чтобы завершить ход.
HINTADVKICK10	Пришло время закончить удар! Разогни КОЛЕНО, чтобы ударить противника и закончи ход!
HINTMOVEMEMORY1	Чтобы открыть MOVEMEMORY, нажми ~M~
HINTMOVEMEMORY2	Выбери любой приём, который бы ты хотел использовать и нажми ~ПРОБЕЛ~. Вуаля!
HINTMOVEMEMORY3	MoveMemory позволяет делать приёмы, не кликая на джоинты. Это поможет тебе сэкономить время, если ты хочешь воспроизвести удар, заготовленный ранее.
HINTMOVEMEMORY4	Чтобы закрыть MoveMemory, снова нажми ~M~ .
#	
#TASK MESSAGES	
KICKTASK	Выполни простой удар ногой
ADVKICKTASK	Пни голову манекена своей ногой
MMEMORYTASK	Используй MoveMemory против Юке
