#PLAYER MESSAGES	
SENSEIMSG1	Добро пожаловать на твой первый реальный тест!
SENSEIMSG2	Твоим оппонентом будет Юке, а сражаться вы будете в айкидо - в одном из самых популярных модов.
SENSEIMSG3	Этот поединок максимально приближен к тем, что ожидают тебя в мультиплеере.
SENSEIMSG4	Удачи! И помни о том, чему тебя научили!
SENSEIMSG5	С возвращением! Хорошей тренировки!
UKEWIN1	Ха-ха, получи!
UKEWIN2	И вот так я становлюсь победителем!
UKEWIN3	Вау, было близко. Пфф, шучу!
UKEWIN4	Упс, ты проиграл? Мне так жаль...нет!
UKELOSS	Ох. Не честно!
SENSEIMSGEND	Отличная работа! Теперь ты готов присоединиться к другим бойцам со всего мира!
GMANKICK	Это был простой удар ногой, придуманный Gman80. Хорошая работа, я сохраню его в MoveMemory.
FNUGGETKICK	С помощью этого приёма я постарался поднять тебя вверх и одновременно сбить с ног, используя правую ногу. Теперь ты можешь его использовать.
EVILTHROW	С помощью этого приёма ты можешь опрокидывать соперника на пол! Опробуй его как-нибудь через MoveMemory.
KYATKICKLIFT	Такой тип приёмов называется "kick lift". С его помощью можно выталкивать оппонента за пределы ринга!
EVILPUSH	Этому приёму с опрокидыванием на пол меня научил Evilperson - и теперь он в твоём MoveMemory.
EVILPUSH2	Этот выталкивающий за пределы ринга приём - из аресенала Evilperson. Думаю, мне еще стоит над ним поработать.
#	
#HINT MESSAGES	
HINT1	В АЙКИДО можно выиграть двумя способами: либо набрать большее количество очков к концу боя, либо повалить противника и добиться его дисквалификации.\nВсегда старайся оставаться в пределах ринга и помни, касаться пола можно только кистями рук и стопами.
MOVEMEMORYHINT	Не забывай про MoveMemory! Нажми ~M~, чтобы открыть его во время боя.
